BILLING_PROVIDER_NPI_NUM,outlier_total_paid,outlier_total_claims,outlier_total_bene,outlier_avg_cost_per_claim,outlier_max_single_record,outlier_count,total_paid,total_claims,total_bene,num_codes,active_months,avg_cost_per_claim,max_single_record
1962547745,True,False,False,False,True,2,7494012.420000001,37368.0,1403.0,4,17,221.49909830566477,1257779.78
1699840967,True,False,False,False,True,2,7626812.149999999,38166.0,2016.0,4,16,242.82106415112602,1521900.98
1679672562,False,True,True,False,False,2,855079.3599999998,116835.0,95341.0,69,84,7.718777725875432,6387.41
1619020856,True,False,False,False,True,2,8629374.370000001,22107.0,3499.0,10,42,333.6497087012672,784932.56
1457303802,False,True,True,False,False,2,2207811.680000001,205892.0,169838.0,127,84,11.91946617339455,23056.02
1336572692,True,False,False,False,True,2,8231157.4,17103.0,626.0,3,11,364.17650836284724,2015749.91
1174793996,True,False,False,False,True,2,14594845.4,96659.0,5812.0,5,10,111.07584520814393,3882225.61
1770586794,False,True,True,False,False,2,2405368.7399999998,122275.0,94274.0,362,84,33.27686490657574,160298.93
1124596382,False,False,True,False,True,2,3352818.86,87269.0,78820.0,178,60,13.553619940411584,695829.2
1952394603,False,True,True,False,False,2,4805784.449999999,191282.0,80239.0,22,84,25.558446526118775,28888.62
1831236009,True,False,False,False,True,2,11098598.809999999,14107.0,10303.0,20,67,667.2711859742274,845680.97
1275604977,True,True,False,False,False,2,18252337.31000001,685753.0,45700.0,18,79,117.5907659454564,328524.54
1386794428,False,True,True,False,False,2,3671081.8300000005,138503.0,129989.0,11,64,28.370302832010534,558104.58
1063431070,True,False,False,False,True,2,36585850.26999999,77619.0,7826.0,15,80,228.77913982961138,2128765.56
1164519070,False,True,True,False,False,2,4377681.279999994,294910.0,172595.0,89,84,27.635974312762787,232606.73
1306001623,True,False,False,False,True,2,12170197.650000002,27252.0,1259.0,4,13,388.05897583627194,2446982.68
1114014685,True,False,False,False,True,2,6497835.25,42094.0,2644.0,2,17,152.0418658398963,1110384.53
1518291418,True,False,False,False,True,2,6650361.53,12691.0,1262.0,7,34,275.7598361597587,892269.59
1316338254,True,True,False,False,False,2,6562968.900000003,147029.0,28366.0,11,59,68.19697316841412,641230.35
1104119619,True,False,False,False,True,2,8545213.680000003,51782.0,7774.0,21,58,149.1353900981605,792370.07
1710066253,True,False,False,False,True,2,10953034.010000002,57342.0,33335.0,41,80,214.74110021451722,1111844.9
1225016140,False,True,True,False,False,2,4407388.430000001,129669.0,117504.0,27,83,57.65102433699539,82917.67
1528042884,False,True,True,False,False,2,3205211.5700000003,138418.0,105370.0,292,84,28.437287065620257,95538.07
1093952350,False,True,True,False,False,2,2466732.619999999,137935.0,74084.0,93,84,13.150725247288834,290880.95
1588708648,True,False,False,False,True,2,6844101.359999999,21170.0,6391.0,11,50,406.73394949263644,797937.52
1689778953,True,False,False,False,True,2,19276680.350000005,77202.0,40229.0,52,79,317.0989979532907,1786141.09
1477739175,False,False,False,True,True,2,3563247.92,820.0,482.0,4,19,4459.181185613126,963063.66
1306299714,True,False,False,False,True,2,8645212.2,28614.0,14812.0,2,10,334.55212457073924,1946773.63
1912388851,True,False,False,False,True,2,7785838.44,97607.0,15563.0,1,12,70.86598741431119,979899.51
1740265347,False,True,True,False,False,2,1551096.3599999987,109991.0,106400.0,167,84,13.477848865562713,99561.5
1912991597,False,True,True,False,False,2,463033.23999999964,194458.0,145635.0,139,83,3.8545895395505565,13957.61
1629056890,False,True,True,False,False,2,2244247.2199999974,141214.0,105259.0,272,84,18.95442862317993,49956.39
1649331638,False,True,True,False,False,2,2469885.930000004,154035.0,132937.0,87,84,39.08762605692709,90710.85
1316938327,False,True,True,False,False,2,4532907.999999999,188784.0,162810.0,367,84,26.62993373406617,243874.53
1598760985,False,True,True,False,False,2,3658147.5200000033,186593.0,154529.0,168,84,19.545947724834246,331347.51
1720029960,False,True,True,False,False,2,1638080.7799999996,105958.0,91995.0,168,83,11.854807396395772,286546.38
1043271539,False,True,True,False,False,2,1841828.8700000003,174582.0,142011.0,203,84,12.669526782173016,149845.31
1154786846,True,False,True,False,False,2,16595589.730000002,94564.0,76790.0,46,74,111.55927366412546,202060.64
1396023164,False,True,True,False,False,2,3948207.79,121806.0,92806.0,45,83,40.092087653664606,117339.95
1780676650,False,True,True,False,False,2,5481273.580000006,110979.0,69427.0,146,84,42.90326290561443,77310.47
1831544410,True,False,False,False,True,2,8588693.0,78487.0,3573.0,10,47,79.6789341619225,1286082.54
1003831132,False,True,True,False,False,2,3741586.3099999973,158374.0,115920.0,321,84,24.333452454211724,97274.92
1154352532,True,False,True,False,False,2,7892076.44,81207.0,73234.0,175,82,72.06105933109257,573697.88
1306170576,True,False,False,False,True,2,7434336.45,65452.0,12562.0,14,43,122.25517845236658,840052.07
