CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2020-08-01,0.0,0.0,26639557.84,0.0,14646326.230000002,7574836.05,917883.64,1481887.6,0.0,1498938.4100000001,1104321391.6000009,0.0,2.412301169082957,0.685926769835108,0.08311743727703402,0.13418988450934205,1.3262738856103846,0.13573389245211095,0.0,0.0,0.0,4.777543038766937
2020-09-01,0.0,0.0,2875727.8,0.0,893698.3099999999,7495231.080000001,587886.9699999999,926435.41,0.0,634596.27,1098272215.3899982,0.0,0.2618410772577748,0.682456587262242,0.053528347686665305,0.08435389669500301,0.08137311474119795,0.05778132789917242,0.0,0.0,0.0,1.2213343515420556
2020-10-01,0.0,40041691.85,625068.3099999999,0.0,1273689.6199999999,8971603.450000001,1064520.38,4046408.29,0.0,3237126.55,1254539034.5600002,3.1917453938803644,0.049824540550803015,0.7151314708311629,0.08485350799573607,0.322541441798914,0.10152650375256887,0.25803314690286583,0.0,0.0,0.0,4.7236560057124155
2020-11-01,0.0,39056067.17,2158625.4299999997,0.0,2488424.3,6705417.8,2445811.5700000003,10085998.560000002,0.0,1129945.8800000001,1246361399.0699909,3.1336069296708664,0.1731941820093852,0.537999476315894,0.19623614561755637,0.8092354727550105,0.199655116233286,0.09065956959539524,0.0,0.0,0.0,5.140586892197393
2020-12-01,0.0,0.0,1672064.34,0.0,700940.0700000002,7637279.470000002,9769520.98,2284411.18,0.0,5149994.34,1225900475.7899992,0.0,0.1363947867727584,0.6229934338738516,0.796926110474367,0.1863455659830682,0.05717756733459932,0.42009889397271194,0.0,0.0,0.0,2.2199363584113567
2021-01-01,13802496.73,36485169.66,31689280.47,0.0,397079.83,7298239.31,7372112.51,5034838.180000001,0.0,1601364.6899999997,1258713777.609997,2.898607317167593,2.5175922464414846,0.5798172261097871,0.5856861695752561,0.3999986549412354,0.03154647522441215,0.1272223056969009,0.0,1.0965556249179786,0.0,8.237026020074648
2021-02-01,0.0,0.0,24979323.720000003,0.0,1852840.25,8817519.5,2106195.2199999997,5558351.779999999,0.0,1455506.9500000002,1209737997.4300034,0.0,2.0648540240173228,0.7288784446493498,0.17410341945730826,0.4594674046618603,0.15316045738302167,0.12031588270287569,0.0,0.0,0.0,3.7007796328717384
2021-03-01,0.0,40011827.48,0.0,0.0,3554795.5400000005,6953958.690000001,3007307.04,8730212.62,0.0,1402302.2400000002,1450980524.9399989,2.75757164153906,0.0,0.47925927126331086,0.20726033108710118,0.6016767606416366,0.24499264317465588,0.09664514553412,0.0,0.0,0.0,4.387405793239884
2021-04-01,0.0,0.0,202320.12,0.0,1375800.7500000005,7586369.03,1504938.07,2773248.81,29013129.94,1565990.14,1317181656.0099952,0.0,0.015360077258657536,0.5759546525253486,0.11425440546740959,0.2105441415271999,0.10445034242031385,0.11888945862969995,2.202667324405848,0.0,0.0,3.3421204022344773
2021-05-01,0.0,314223.86000000004,5526147.02,0.0,1365727.66,7028683.000000001,6251675.390000001,2450457.7100000004,30211046.29,3199495.830000001,1357400871.1999993,0.023148936078272366,0.4071123819977111,0.5178045151677522,0.46056220550921384,0.18052572102990422,0.10061343623513658,0.23570751263563816,2.2256539634671197,0.0,0.0,4.151128672120748
