HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
72127,2022-06,2022-06,1,646.38,1,2022-06-01,2022-06-01,2022Q2,2022Q2
01270,2020-06,2024-08,22,16042.05,3,2020-06-01,2024-08-01,2020Q2,2024Q3
95870,2018-01,2024-10,79,88463.21,23,2018-01-01,2024-10-01,2018Q1,2024Q4
87492,2018-01,2024-10,76,88813.83999999998,21,2018-01-01,2024-10-01,2018Q1,2024Q4
1111F,2018-01,2024-12,84,232958.65999999977,2560,2018-01-01,2024-12-01,2018Q1,2024Q4
64448,2018-02,2024-08,21,14883.0,5,2018-02-01,2024-08-01,2018Q1,2024Q3
85307,2018-01,2024-11,79,59848.850000000006,28,2018-01-01,2024-11-01,2018Q1,2024Q4
J7121,2018-01,2024-11,83,180508.62,75,2018-01-01,2024-11-01,2018Q1,2024Q4
V2214,2018-02,2024-10,33,23869.050000000003,3,2018-02-01,2024-10-01,2018Q1,2024Q4
V2307,2018-01,2024-11,39,14175.97,1,2018-01-01,2024-11-01,2018Q1,2024Q4
0513F,2018-01,2024-12,84,103964.74,185,2018-01-01,2024-12-01,2018Q1,2024Q4
L3460,2018-07,2023-03,17,10568.540000000003,1,2018-07-01,2023-03-01,2018Q3,2023Q1
38220,2018-03,2024-10,47,200004.79,5,2018-03-01,2024-10-01,2018Q1,2024Q4
Q0112,2018-01,2024-11,83,57367.97999999999,53,2018-01-01,2024-11-01,2018Q1,2024Q4
85280,2018-04,2024-11,63,22584.129999999997,8,2018-04-01,2024-11-01,2018Q2,2024Q4
92613,2018-02,2024-11,43,12926.309999999998,10,2018-02-01,2024-11-01,2018Q1,2024Q4
E0188,2018-01,2024-10,69,47538.72,10,2018-01-01,2024-10-01,2018Q1,2024Q4
4086F,2018-01,2024-12,84,17477.370000000003,196,2018-01-01,2024-12-01,2018Q1,2024Q4
G9969,2018-03,2024-11,68,2540.43,32,2018-03-01,2024-11-01,2018Q1,2024Q4
Q4045,2018-08,2024-09,24,5607.93,5,2018-08-01,2024-09-01,2018Q3,2024Q3
V2700,2018-03,2024-11,28,6663.76,5,2018-03-01,2024-11-01,2018Q1,2024Q4
1101F,2018-01,2024-12,84,45556.320000000014,1580,2018-01-01,2024-12-01,2018Q1,2024Q4
D9311,2018-01,2024-09,9,996.9,5,2018-01-01,2024-09-01,2018Q1,2024Q3
Q2039,2018-01,2024-10,32,9533.39,91,2018-01-01,2024-10-01,2018Q1,2024Q4
Z0058,2018-06,2019-06,6,2700.0,1,2018-06-01,2019-06-01,2018Q2,2019Q2
S0285,2018-04,2023-09,11,14651.77,8,2018-04-01,2023-09-01,2018Q2,2023Q3
86808,2018-01,2023-10,29,13747.66,5,2018-01-01,2023-10-01,2018Q1,2023Q4
87269,2018-01,2024-11,75,31816.08,22,2018-01-01,2024-11-01,2018Q1,2024Q4
82438,2018-01,2024-11,78,21204.3,34,2018-01-01,2024-11-01,2018Q1,2024Q4
87425,2018-01,2024-11,83,81282.04,59,2018-01-01,2024-11-01,2018Q1,2024Q4
86713,2020-12,2023-01,11,4088.3700000000003,5,2020-12-01,2023-01-01,2020Q4,2023Q1
E0159,2018-01,2024-11,83,63741.81,29,2018-01-01,2024-11-01,2018Q1,2024Q4
J2820,2020-01,2024-08,7,51910.43000000001,3,2020-01-01,2024-08-01,2020Q1,2024Q3
87140,2018-01,2024-12,84,74608.3,52,2018-01-01,2024-12-01,2018Q1,2024Q4
3011F,2018-01,2024-12,84,25169.050000000007,395,2018-01-01,2024-12-01,2018Q1,2024Q4
