BILLING_PROVIDER_NPI_NUM,flagged_codes,max_excess_ratio,total_excess_paid
1871543215,1975,44022.72727272727,25596928.81
1164807533,18,4.752414241222469,25554945.0
1043554348,545,94.22900451920663,25545586.25
1629167457,921,34894.73684210527,25539002.43
1679504864,79,32292.150684931505,25500340.45
1134274897,952,13408.04347826087,25350062.68
1871566760,133,51.11860042033909,25346850.81
1992727663,1596,2316.632299385601,25268778.38
1093740128,4627,551.50893246662,25251247.52
1316029549,46,9.156149866373454,25250729.96
1881782019,35,33.72420515600812,25183543.28
1184786527,6368,35457.07142857142,25155238.02
1417486531,26,46.772043850394724,25152695.65
1134632599,142,4.54380037904105,25144813.88
1720480627,2542,6800.9333333333325,25131269.32
1477608271,960,7212.583333333333,25022566.42
1225394588,76,18.908272303980795,24989744.99
1295752384,339,27450.0,24897614.46
1174818702,61,22.834764051403177,24879502.419999998
1063040111,24,25.30359709004226,24851012.92
1306878798,63,29.751042251809327,24785636.36
1053603456,19,9.659538683972148,24729263.19
1306252804,73,64.24190470192471,24566271.69
1841271459,2095,430584.72222222225,24522382.7
1619051810,54,28.3544500557102,24502822.96
1679525919,1695,34383.946835443036,24476763.87
1598898603,28,19.433222222222224,24439557.45
1366436123,5369,33317.0,24318685.65
1427440650,42,8.45411744513525,24270281.09
1558759498,329,407795.3333333333,24208122.5
1316327315,39,20.176751644586112,24165303.93
1548505290,43,8.050452539844569,24117332.84
1447205927,35,29.14273122438501,24051697.67
1720062524,1453,18499.875,24006094.62
1336435031,109,28.30227466124639,24003799.18
1033201157,107,31.513745921774586,23975410.19
1922733641,12,25.51484732295,23958953.77
1700092459,528,41.81221355134399,23850019.48
1528105558,417,40.43322006127076,23818252.51
1538282637,72,12.708045291034859,23809727.32
1861423329,43,26.772521093265492,23760662.34
1467560599,1451,89897.54999999999,23749248.79
1982733655,547,313870.26666666666,23732964.51
1366579112,25,1403.1778810819587,23692485.0
1013030808,38,40.24725831096428,23611062.13
1376600965,36,9.540691681891262,23584743.07
1790297547,772,266279.90476190473,23556005.65
1588085633,19,7.189619648607485,23546230.96
1497894349,41,27.87132328479262,23500790.53
1124127683,1889,45063.947368421046,23365799.91
1538583125,20,7.130871313361378,23359993.52
1952332801,933,312851.9166666667,23338616.63
1902937212,40,17.774986543449295,23284147.41
1831278688,37,8.558077655264594,23162340.98
1013379460,280,56.89914959324459,23147571.73
1053384776,1331,293996.1111111111,23123564.85
1356496772,489,26945.166666666664,23037176.14
1316944846,176,19.095756557967473,23001547.55
1992092274,141,76.98055058913395,22979181.34
1003147588,17,11834.70588235294,22967920.45
1154317527,1284,15482.285714285714,22921905.68
1679570113,69,17.571029156095527,22904147.59
1619148277,76,26.698230594390978,22660329.4
1316995210,1111,20632.986111111113,22659338.55
1255520474,51,14.718437996148785,22640503.54
1609842301,42,27.81926109245558,22629178.94
1942329453,52,25.308183934235274,22558076.41
1265758452,42,8.39128212372737,22436007.8
1487740957,831,2081.6190476190473,22427159.78
1760472070,56,24.714366520587035,22421729.74
1366519431,258,28119.799999999996,22362286.45
1093725897,39,24.386796712634744,22342130.72
1902865801,48,22.680160047659832,22284016.48
1598042475,60,29.98075470809369,22232932.56
1104956390,35,17.22617430493741,22217371.97
1750482022,2465,11899.902777777777,22191775.87
1275032096,36,26.864997128911856,22033267.32
1932253374,45,47.03640905138369,21999120.96
1265813125,482,18.913237212522823,21949067.8
1346380870,828,25028.571428571428,21892859.11
1013961408,269,263.78967659027626,21790569.84
1215913470,1464,13967.263157894737,21738114.94
1013010917,746,305671.6,21654226.48
1063431286,941,14613.666666666666,21611781.93
1942293691,438,46807.362499999996,21562837.29
1588606305,3320,20689.714285714286,21541267.7
1629116645,78,1995.9186077566849,21529544.27
1033663430,64,12.276785714285714,21520036.77
1841354263,184,23.944208258383583,21497151.26
1760568752,2846,202505.25,21463323.19
1689742439,20,96.95493846046566,21460468.12
1285621623,2219,67642.8,21453547.09
1013332014,1797,141481.85869565216,21451781.32
1639132442,398,1029.9438162334968,21409249.06
1871698472,87,1346.9440327114748,21374108.93
1801027404,102,91.40536614248217,21361542.03
1558365890,2448,2826.086956521739,21298591.03
1154748416,214,18.563240109380683,21262246.95
1679168454,19,83.50868174681631,21230079.06
1619082211,155,20.563407998673444,21177547.45
1396731105,1326,10002.916666666666,21073554.54
1760515241,63,37.02017427233269,21000712.29
1477591055,3365,9109.142857142857,20999196.79
1790835635,25,9.472733113515151,20928456.13
1437781499,13,16.984785496948724,20904854.9
1972662328,59,21.938819433041395,20890034.69
1538371778,75,39.73390145622824,20849609.07
1689638488,74,34.7876398797315,20808101.63
1649726738,1456,55208.740740740745,20800943.85
1417919531,1437,17935.347826086956,20779844.35
1093288938,73,16.190523625202577,20777789.8
1821323940,35,42349.17582417582,20746107.67
1801298708,284,24.230451230493667,20604517.41
1336294040,607,5995.642857142857,20602302.59
1356390264,1550,67277.5,20588135.04
1134144801,497,144566.0,20583450.7
1396173449,1089,30.673358549644327,20578488.89
