BILLING_PROVIDER_NPI_NUM,n_codes,avg_z_score,max_z_score,high_z_count,total_paid,total_claims,upcode_ratio,flag_upcoding
1215983945,125,10.299759047981782,41.52567885174733,103.0,1200646.4200000002,2791.0,0.824,True
1023299013,4,10.263841352206079,11.01239943235734,4.0,324000.0,86.0,1.0,True
1851367247,3,10.217567819500175,10.217567819500177,3.0,11493.68,44.0,1.0,True
1932175429,3,10.217567819500175,10.217567819500177,3.0,10448.8,40.0,1.0,True
1326652652,14,10.213259163117803,19.38712849395091,14.0,1565495.7599999998,365.0,1.0,True
1578921151,27,10.210289272047245,13.302810273393504,27.0,405529.72,449.0,1.0,True
1497236418,30,10.202553154364885,27.913383262769962,26.0,1416644.19,626.0,0.8666666666666667,True
1699244384,21,10.135650443690123,20.711719801907137,21.0,2480823.88,484.0,1.0,True
1851534812,44,10.134253610602762,28.177244044542995,28.0,241828.25999999998,855.0,0.6363636363636364,True
1922405406,21,10.083535890593229,15.906431949433657,21.0,198651.67,403.0,1.0,True
1235624891,7,10.059155329492599,12.828701883703244,7.0,218578.85,176.0,1.0,True
