BILLING_PROVIDER_NPI_NUM,total_paid,total_claims,risk_upcoding,risk_velocity,risk_phantom,risk_cost_outlier,risk_relationship,risk_temporal,fraud_score,risk_tier
1932455789,825.0699999999999,866.0,0,1,0,1,1,1,4,High
1235353376,8861.529999999999,1793.0,0,1,0,1,1,1,4,High
1881826014,12297.03,181.0,1,1,0,1,1,0,4,High
1699209510,21185.04,1204.0,0,1,0,1,1,1,4,High
1720171895,471550.72000000026,29611.0,0,1,1,1,1,0,4,High
1235554908,82494.84000000001,1876.0,0,1,0,1,1,1,4,High
1497855340,178107.75,613.0,1,1,0,1,0,1,4,High
1134142631,553715.6400000001,7139.0,0,1,0,1,1,1,4,High
1659323442,1446622.0400000003,37362.0,0,1,0,1,1,1,4,High
1689980740,680715.2,8289.0,1,1,0,1,1,0,4,High
1023521572,34086.270000000004,1902.0,0,1,0,1,1,1,4,High
1669777389,53131.700000000004,471.0,1,1,0,1,1,0,4,High
1669575627,176992.81999999998,5339.0,1,1,0,1,1,0,4,High
1699950998,77462.92000000001,1002.0,1,1,0,1,1,0,4,High
1275545725,1738271.8999999987,112058.0,0,1,0,1,1,1,4,High
1386750164,212517.74000000002,1898.0,1,1,0,1,1,0,4,High
1497880033,405411.17000000004,65411.0,0,1,0,1,1,1,4,High
1124074042,1263274.4499999997,8090.0,1,1,0,1,1,0,4,High
1447362280,679654.6700000002,5555.0,1,1,0,1,1,0,4,High
1568575082,48428.84999999999,2821.0,0,1,0,1,1,1,4,High
1760456172,66453.93,5099.0,0,1,1,1,1,0,4,High
1871844134,172977.74999999997,3444.0,0,1,0,1,1,1,4,High
1558739573,880582.8000000004,8389.0,1,1,0,1,1,0,4,High
1942449442,5798.030000000001,3040.0,0,1,0,1,1,1,4,High
1134308489,1795559.6099999996,15231.0,1,1,0,1,1,0,4,High
1396102091,868136.28,1548.0,1,1,0,1,1,0,4,High
1790930618,854469.3300000004,34409.0,0,1,0,1,1,1,4,High
1275656761,20419.31,6099.0,0,1,0,1,1,1,4,High
1598869828,596994.3499999999,19823.0,0,1,0,1,1,1,4,High
1891909941,861299.5099999994,27376.0,0,1,0,1,1,1,4,High
1558792283,43742.19000000001,2684.0,0,1,0,1,1,1,4,High
1700049145,410350.1399999999,12334.0,0,1,1,1,1,0,4,High
1790778660,4023494.7199999993,19415.0,0,1,0,1,1,1,4,High
1194710426,2582844.440000001,18482.0,1,1,0,1,1,0,4,High
1063470763,1839724.6100000003,13997.0,1,1,0,1,1,0,4,High
1265892012,1620698.0,10415.0,1,1,0,1,1,0,4,High
1013950054,2175050.030000001,27008.0,1,1,0,1,1,0,4,High
1649217175,2529465.049999999,21002.0,1,1,0,1,1,0,4,High
1346510237,348413.89999999997,19626.0,0,1,0,1,1,1,4,High
1962423632,2287905.169999997,70971.0,0,1,0,1,1,1,4,High
1316147069,57121.44,880.0,1,1,0,1,0,1,4,High
1255651378,54925.380000000005,2082.0,1,1,0,1,1,0,4,High
1710952056,1188662.7899999998,15374.0,0,1,0,1,1,1,4,High
1326464967,297287.6,6039.0,0,1,0,1,1,1,4,High
1144809369,284057.0,458.0,1,1,0,1,1,0,4,High
1942310875,620930.6299999999,3263.0,1,1,0,1,1,0,4,High
1013681063,98196.69,792.0,1,1,0,1,1,0,4,High
1205161676,236301.0399999999,4181.0,0,1,0,1,1,1,4,High
1558877407,510421.45,218.0,1,1,0,1,1,0,4,High
1154091874,44068.159999999996,426.0,1,1,0,1,1,0,4,High
1679279046,4794816.0,5176.0,1,1,0,1,0,1,4,High
1992796759,366765.90999999986,31503.0,0,1,0,1,1,1,4,High
1396756938,20561994.5,20209.0,1,1,0,1,0,1,4,High
1609043645,3027771.820000001,1830.0,1,1,0,1,1,0,4,High
1376885228,475495.7499999999,2593.0,1,1,1,1,0,0,4,High
1164807533,5639884.0,35506.0,0,1,0,1,1,1,4,High
1154782548,194614.05,629.0,0,1,0,1,1,1,4,High
1639109457,393275.0400000001,7856.0,0,1,0,1,1,1,4,High
1437153848,489482.10999999987,11565.0,0,1,0,1,1,1,4,High
1003884487,59402.070000000014,2877.0,0,1,0,1,1,1,4,High
1053587691,661671.2300000001,3271.0,1,1,0,1,1,0,4,High
1003963497,1381735.6400000001,4638.0,1,1,0,1,1,0,4,High
1548373293,318421.3200000002,67855.0,0,1,0,1,1,1,4,High
1104251081,1498.83,1507.0,0,1,0,1,1,1,4,High
1285923896,30291.89,619.0,1,0,1,1,1,0,4,High
1437895166,273986.06,1246.0,1,1,0,1,0,1,4,High
1578000709,272042.5800000001,4102.0,0,1,1,1,0,1,4,High
1659483352,30997.999999999996,11813.0,0,1,0,1,1,1,4,High
1538271358,100394.82,8067.0,0,1,0,1,1,1,4,High
1477725331,50714.8,507.0,1,1,0,1,1,0,4,High
1124686464,975121.8200000001,577.0,1,1,0,1,1,0,4,High
1750654265,57045.18,882.0,1,1,0,1,1,0,4,High
1043647886,152171.43,1109.0,1,1,0,1,1,0,4,High
1245014331,26869.79,2583.0,0,1,1,0,1,1,4,High
1982809836,425440.0000000001,13036.0,0,1,0,1,1,1,4,High
1922165158,683447.9199999999,484.0,1,1,0,1,1,0,4,High
1790188290,365295.03,4228.0,0,1,0,1,1,1,4,High
